country,common_name,scientific_name,som_index,som_index_clean
Albania,Caribbean Fruit Fly,Anastrepha suspensa,2.54e-10,0.0
Albania,Guava Fruit Fly,Bactrocera correcta,0.0011658,0.0011658
Albania,Melon Fruit Fly,Bactrocera cucurbitae,0.02164,0.02164
Albania,Mexican Fruit Fly,Anastrepha ludens,1.25e-13,0.0
Albania,Oriental Fruit Fly,Bactrocera dorsalis,0.0012162,0.0012162
Albania,Peach Fruit Fly,Bactrocera zonata,0.041599,0.041599
Albania,Queensland Fruit Fly,Bactrocera tryoni,2.78e-07,0.0
Albania,Sapote Fruit Fly,Anastrepha serpentina,1.57e-13,0.0
Albania,Zeugodacus Tau,Bactrocera tau,0.00016385,0.00016385
Algeria,Caribbean Fruit Fly,Anastrepha suspensa,2.54e-10,0.0
Algeria,Guava Fruit Fly,Bactrocera correcta,0.0011658,0.0011658
Algeria,Melon Fruit Fly,Bactrocera cucurbitae,0.02164,0.02164
Algeria,Mexican Fruit Fly,Anastrepha ludens,1.25e-13,0.0
Algeria,Oriental Fruit Fly,Bactrocera dorsalis,0.0012162,0.0012162
Algeria,Peach Fruit Fly,Bactrocera zonata,0.041599,0.041599
Algeria,Queensland Fruit Fly,Bactrocera tryoni,2.78e-07,0.0
Algeria,Sapote Fruit Fly,Anastrepha serpentina,1.57e-13,0.0
Algeria,Zeugodacus Tau,Bactrocera tau,0.00016385,0.00016385
Argentina,Caribbean Fruit Fly,Anastrepha suspensa,0.066071,0.066071
Argentina,Guava Fruit Fly,Bactrocera correcta,2.58e-07,0.0
Argentina,Melon Fruit Fly,Bactrocera cucurbitae,0.079966,0.079966
Argentina,Mexican Fruit Fly,Anastrepha ludens,0.2766,0.2766
Argentina,Oriental Fruit Fly,Bactrocera dorsalis,0.061858,0.061858
Argentina,Peach Fruit Fly,Bactrocera zonata,0.062265,0.062265
Argentina,Queensland Fruit Fly,Bactrocera tryoni,2.81e-06,0.0
Argentina,Sapote Fruit Fly,Anastrepha serpentina,0.68788,0.68788
Argentina,Zeugodacus Tau,Bactrocera tau,2.9e-06,0.0
Armenia,Caribbean Fruit Fly,Anastrepha suspensa,0.021528,0.021528
Armenia,Guava Fruit Fly,Bactrocera correcta,4.15e-12,0.0
Armenia,Mediterranean Fruit Fly,Ceratitis capitata,0.003227,0.003227
Armenia,Melon Fruit Fly,Bactrocera cucurbitae,0.060059,0.060059
Armenia,Mexican Fruit Fly,Anastrepha ludens,0.002669,0.002669
Armenia,Oriental Fruit Fly,Bactrocera dorsalis,2.24e-07,0.0
Armenia,Peach Fruit Fly,Bactrocera zonata,2.35e-07,0.0
Armenia,Queensland Fruit Fly,Bactrocera tryoni,0.060055,0.060055
Armenia,Sapote Fruit Fly,Anastrepha serpentina,0.002692,0.002692
Armenia,Zeugodacus Tau,Bactrocera tau,0.060055,0.060055
Australia,Caribbean Fruit Fly,Anastrepha suspensa,5.9e-12,0.0
Australia,Guava Fruit Fly,Bactrocera correcta,0.36728,0.36728
Australia,Mexican Fruit Fly,Anastrepha ludens,1.29e-11,0.0
Australia,Oriental Fruit Fly,Bactrocera dorsalis,0.58091,0.58091
Australia,Peach Fruit Fly,Bactrocera zonata,0.39612,0.39612
Australia,Sapote Fruit Fly,Anastrepha serpentina,9.21e-10,0.0
Australia,Zeugodacus Tau,Bactrocera tau,0.71783,0.71783
Austria,Caribbean Fruit Fly,Anastrepha suspensa,0.002122,0.002122
Austria,Guava Fruit Fly,Bactrocera correcta,1.79e-07,0.0
Austria,Mediterranean Fruit Fly,Ceratitis capitata,0.056451,0.056451
Austria,Melon Fruit Fly,Bactrocera cucurbitae,0.002398,0.002398
Austria,Mexican Fruit Fly,Anastrepha ludens,2e-05,0.0
Austria,Oriental Fruit Fly,Bactrocera dorsalis,1.8e-07,0.0
Austria,Peach Fruit Fly,Bactrocera zonata,6.24e-06,0.0
Austria,Queensland Fruit Fly,Bactrocera tryoni,0.002021,0.002021
Austria,Sapote Fruit Fly,Anastrepha serpentina,2.02e-05,0.0
Austria,Zeugodacus Tau,Bactrocera tau,0.002021,0.002021
Azerbaijan,Caribbean Fruit Fly,Anastrepha suspensa,0.021528,0.021528
Azerbaijan,Guava Fruit Fly,Bactrocera correcta,4.15e-12,0.0
Azerbaijan,Mediterranean Fruit Fly,Ceratitis capitata,0.003227,0.003227
Azerbaijan,Melon Fruit Fly,Bactrocera cucurbitae,0.060059,0.060059
Azerbaijan,Mexican Fruit Fly,Anastrepha ludens,0.002669,0.002669
Azerbaijan,Oriental Fruit Fly,Bactrocera dorsalis,2.24e-07,0.0
Azerbaijan,Peach Fruit Fly,Bactrocera zonata,2.35e-07,0.0
Azerbaijan,Queensland Fruit Fly,Bactrocera tryoni,0.060055,0.060055
Azerbaijan,Sapote Fruit Fly,Anastrepha serpentina,0.002692,0.002692
Azerbaijan,Zeugodacus Tau,Bactrocera tau,0.060055,0.060055
Bangladesh,Caribbean Fruit Fly,Anastrepha suspensa,2.01e-08,0.0
Bangladesh,Guava Fruit Fly,Bactrocera correcta,0.44741,0.44741
Bangladesh,Mediterranean Fruit Fly,Ceratitis capitata,0.23586,0.23586
Bangladesh,Mexican Fruit Fly,Anastrepha ludens,4.93e-09,0.0
Bangladesh,Queensland Fruit Fly,Bactrocera tryoni,0.023347,0.023347
Bangladesh,Sapote Fruit Fly,Anastrepha serpentina,9.43e-08,0.0
Barbados,Caribbean Fruit Fly,Anastrepha suspensa,0.16823,0.16823
Barbados,Guava Fruit Fly,Bactrocera correcta,5.86e-08,0.0
Barbados,Mediterranean Fruit Fly,Ceratitis capitata,0.18698,0.18698
Barbados,Melon Fruit Fly,Bactrocera cucurbitae,0.026359,0.026359
Barbados,Mexican Fruit Fly,Anastrepha ludens,0.093848,0.093848
Barbados,Oriental Fruit Fly,Bactrocera dorsalis,0.00015735,0.00015735
Barbados,Peach Fruit Fly,Bactrocera zonata,0.00019533,0.00019533
Barbados,Queensland Fruit Fly,Bactrocera tryoni,0.023344,0.023344
Barbados,Sapote Fruit Fly,Anastrepha serpentina,0.098799,0.098799
Barbados,Zeugodacus Tau,Bactrocera tau,0.023344,0.023344
Belgium,Caribbean Fruit Fly,Anastrepha suspensa,3.16e-05,0.0
Belgium,Guava Fruit Fly,Bactrocera correcta,2.79e-05,0.0
Belgium,Melon Fruit Fly,Bactrocera cucurbitae,0.001674,0.001674
Belgium,Mexican Fruit Fly,Anastrepha ludens,6.91e-08,0.0
Belgium,Oriental Fruit Fly,Bactrocera dorsalis,2.82e-05,0.0
Belgium,Peach Fruit Fly,Bactrocera zonata,0.00062,0.00062
Belgium,Queensland Fruit Fly,Bactrocera tryoni,6.97e-06,0.0
Belgium,Sapote Fruit Fly,Anastrepha serpentina,7.03e-08,0.0
Belgium,Zeugodacus Tau,Bactrocera tau,1.42e-05,0.0
Belize,Caribbean Fruit Fly,Anastrepha suspensa,0.093762,0.093762
Belize,Guava Fruit Fly,Bactrocera correcta,2.7e-09,0.0
