iso_a3,country,month,origin_risk,fruit_production_score,risk_bucket,total_passengers,passenger_score,route_risk
MEX,Mexico,6,0.8882790074149234,0.8674951575411742,0.5–1 (very high),3129935.0,1.0,0.8882790074149234
MEX,Mexico,8,0.8882790074149234,0.8674951575411742,0.5–1 (very high),3306112.0,1.0,0.8882790074149234
MEX,Mexico,7,0.8882790074149234,0.8674951575411742,0.5–1 (very high),3697488.0,1.0,0.8882790074149234
MEX,Mexico,5,0.8882790074149234,0.8674951575411742,0.5–1 (very high),2903826.0,1.0,0.8882790074149234
MEX,Mexico,9,0.8882790074149234,0.8674951575411742,0.5–1 (very high),2433609.0,1.0,0.8882790074149234
JPN,Japan,8,1.0457260195360547,0.747812049690085,>1 (extreme),667833.0,0.6637707201243666,0.6941223130402344
JPN,Japan,7,1.0457260195360547,0.747812049690085,>1 (extreme),614715.0,0.6368263997529804,0.6659459361491605
JPN,Japan,6,1.0457260195360547,0.747812049690085,>1 (extreme),603312.0,0.6308921669435,0.6597403544943024
JPN,Japan,9,1.0457260195360547,0.747812049690085,>1 (extreme),533232.0,0.5931195723839958,0.6202405695380429
MEX,Mexico,10,0.4441395037074616,0.8674951575411742,0.25–0.5 (high),2782759.0,1.0,0.4441395037074616
MEX,Mexico,11,0.4441395037074616,0.8674951575411742,0.25–0.5 (high),3068673.0,1.0,0.4441395037074616
MEX,Mexico,4,0.4441395037074616,0.8674951575411742,0.25–0.5 (high),3148244.0,1.0,0.4441395037074616
MEX,Mexico,3,0.4441395037074616,0.8674951575411742,0.25–0.5 (high),3546651.0,1.0,0.4441395037074616
DOM,Dominican Republic,7,0.5262435766307278,0.7855152994895653,0.5–1 (very high),597816.0,0.6280119687690605,0.33048726461193534
DOM,Dominican Republic,6,0.5262435766307278,0.7855152994895653,0.5–1 (very high),524778.0,0.588399050894223,0.30964122102870156
DOM,Dominican Republic,8,0.5262435766307278,0.7855152994895653,0.5–1 (very high),518121.0,0.5846551115934692,0.30767099702038453
DOM,Dominican Republic,1,0.5262435766307278,0.7855152994895653,0.5–1 (very high),486766.0,0.5666883328497211,0.2982160951137416
DOM,Dominican Republic,3,0.5262435766307278,0.7855152994895653,0.5–1 (very high),485987.0,0.5662346990992287,0.2979773732664021
SGP,Singapore,8,0.7389022666666667,0.0,0.5–1 (very high),240696.0,0.3984910668000265,0.29444595250495764
DOM,Dominican Republic,5,0.5262435766307278,0.7855152994895653,0.5–1 (very high),461135.0,0.551566900942523,0.2902585387031197
DOM,Dominican Republic,4,0.5262435766307278,0.7855152994895653,0.5–1 (very high),451320.0,0.5456654335269657,0.28715292938298714
SGP,Singapore,7,0.7389022666666667,0.0,0.5–1 (very high),215539.0,0.377091797126321,0.2786339836380454
DOM,Dominican Republic,12,0.5262435766307278,0.7855152994895653,0.5–1 (very high),417139.0,0.5245954884855032,0.276065006144955
SGP,Singapore,1,0.7389022666666667,0.0,0.5–1 (very high),211087.0,0.3731770243132456,0.275741349132979
SGP,Singapore,12,0.7389022666666667,0.0,0.5–1 (very high),211074.0,0.3731655328997255,0.27573285810148174
DOM,Dominican Republic,2,0.5262435766307278,0.7855152994895653,0.5–1 (very high),402112.0,0.515059818362254,0.27104692099372557
SGP,Singapore,6,0.7389022666666667,0.0,0.5–1 (very high),199921.0,0.3631728391829533,0.26834923406405303
SGP,Singapore,5,0.7389022666666667,0.0,0.5–1 (very high),198521.0,0.3618989979399414,0.26740798988221803
DOM,Dominican Republic,11,0.5262435766307278,0.7855152994895653,0.5–1 (very high),380288.0,0.5008878120113269,0.26358899368358035
JPN,Japan,5,0.4481682940868806,0.747812049690085,0.25–0.5 (high),521275.0,0.5864319209150267,0.26282019359458
SGP,Singapore,9,0.7389022666666667,0.0,0.5–1 (very high),188408.0,0.3525606378511476,0.26050785444565877
COL,Colombia,12,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),657924.0,0.6588279541042064,0.2581288541838075
JPN,Japan,10,0.4481682940868806,0.747812049690085,0.25–0.5 (high),495925.0,0.5719948972767465,0.25634997733891995
SGP,Singapore,10,0.7389022666666667,0.0,0.5–1 (very high),177855.0,0.3425446531884513,0.2531070206754939
