iso_a3,country,month,origin_risk,fruit_production_score,risk_bucket
ALB,Albania,1,0.0019607960821678,0.6750422283774193,0–0.01 (very low)
ALB,Albania,2,0.0019607960821678,0.6750422283774193,0–0.01 (very low)
ALB,Albania,3,0.0019607960821678,0.6750422283774193,0–0.01 (very low)
ALB,Albania,4,0.0078431843286715,0.6750422283774193,0–0.01 (very low)
ALB,Albania,5,0.0078431843286715,0.6750422283774193,0–0.01 (very low)
ALB,Albania,6,0.0196079608216789,0.6750422283774193,0.01–0.05 (low)
ALB,Albania,7,0.0392159216433578,0.6750422283774193,0.01–0.05 (low)
ALB,Albania,8,0.0392159216433578,0.6750422283774193,0.01–0.05 (low)
ALB,Albania,9,0.0196079608216789,0.6750422283774193,0.01–0.05 (low)
ALB,Albania,10,0.0078431843286715,0.6750422283774193,0–0.01 (very low)
ALB,Albania,11,0.0019607960821678,0.6750422283774193,0–0.01 (very low)
ALB,Albania,12,0.0019607960821678,0.6750422283774193,0–0.01 (very low)
DZA,Algeria,1,0.0020123610609335,0.7979864016280284,0–0.01 (very low)
DZA,Algeria,2,0.0080494442437344,0.7979864016280284,0–0.01 (very low)
DZA,Algeria,3,0.0201236106093362,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,4,0.0402472212186724,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,5,0.0402472212186724,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,6,0.0402472212186724,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,7,0.0321977769749379,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,8,0.0321977769749379,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,9,0.0402472212186724,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,10,0.0402472212186724,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,11,0.0201236106093362,0.7979864016280284,0.01–0.05 (low)
DZA,Algeria,12,0.0080494442437344,0.7979864016280284,0–0.01 (very low)
ARG,Argentina,1,0.3643898599690228,0.8010294300800275,0.25–0.5 (high)
ARG,Argentina,2,0.3643898599690228,0.8010294300800275,0.25–0.5 (high)
ARG,Argentina,3,0.3643898599690228,0.8010294300800275,0.25–0.5 (high)
ARG,Argentina,4,0.1325054036250992,0.8010294300800275,0.1–0.25 (elevated)
ARG,Argentina,5,0.0331263509062747,0.8010294300800275,0.01–0.05 (low)
ARG,Argentina,6,0.0331263509062747,0.8010294300800275,0.01–0.05 (low)
ARG,Argentina,7,0.0331263509062747,0.8010294300800275,0.01–0.05 (low)
ARG,Argentina,8,0.0331263509062747,0.8010294300800275,0.01–0.05 (low)
ARG,Argentina,9,0.0331263509062747,0.8010294300800275,0.01–0.05 (low)
ARG,Argentina,10,0.1325054036250992,0.8010294300800275,0.1–0.25 (elevated)
ARG,Argentina,11,0.3643898599690228,0.8010294300800275,0.25–0.5 (high)
ARG,Argentina,12,0.3643898599690228,0.8010294300800275,0.25–0.5 (high)
ARM,Armenia,1,0.003501712149787,0.6644457515404695,0–0.01 (very low)
ARM,Armenia,2,0.003501712149787,0.6644457515404695,0–0.01 (very low)
ARM,Armenia,3,0.003501712149787,0.6644457515404695,0–0.01 (very low)
ARM,Armenia,4,0.003501712149787,0.6644457515404695,0–0.01 (very low)
ARM,Armenia,5,0.0140068485991482,0.6644457515404695,0.01–0.05 (low)
ARM,Armenia,6,0.0140068485991482,0.6644457515404695,0.01–0.05 (low)
ARM,Armenia,7,0.0350171214978708,0.6644457515404695,0.01–0.05 (low)
