city,geocode_status,geocode_score,matched_address,lat,lon,station_id,station_name,station_lat,station_lon
"Detroit, MI",T,100.0,"Detroit, Michigan",42.33294070000005,-83.04783649999996,USW00014822,"DETROIT CITY AIRPORT, MI US",,
"Anchorage, AK",T,100.0,"Anchorage, Alaska",61.21658300000007,-149.89959699999997,USW00026451,"ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US",,
"Atlanta, GA",M,100.0,"Atlanta, Georgia",33.74854700000003,-84.39150199999995,USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",,
"Hartford, CT",T,100.0,"Hartford, Connecticut",41.765775000000076,-72.67335599999996,USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",,
"Bangor, ME",T,100.0,"Bangor, Maine",44.80160170000005,-68.77133349999997,USW00014606,"BANGOR INTERNATIONAL AIRPORT, ME US",,
"Teterboro, NJ",T,100.0,"Teterboro, New Jersey",40.865980000000036,-74.05443799999995,USW00094728,"NY CITY CENTRAL PARK, NY US",,
"Miami, FL",M,100.0,"Miami, Florida",25.77508400000005,-80.19470199999995,USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",,
"Allentown/Bethlehem/Easton, PA",T,96.37,Allentown-Bethlehem-Easton Airport,40.50315000000006,-75.43962999999997,USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",,
"Naples, FL",T,100.0,"Naples, Florida",26.147452100000066,-81.79545209999998,USW00012835,"FORT MYERS PAGE FIELD AIRPORT, FL US",,
"Austin, TX",T,100.0,"Austin, Texas",30.26497900000004,-97.74659799999995,USW00013958,"AUSTIN CAMP MABRY, TX US",,
"Boston, MA",T,100.0,"Boston, Massachusetts",42.35899420000004,-71.05862929999995,USW00014765,"RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT, RI US",,
"Duluth, MN",T,100.0,"Duluth, Minnesota",46.78283630000004,-92.10551359999994,USW00014913,"DULUTH INTERNATIONAL AIRPORT, MN US",,
"Newark, NJ",T,100.0,"Newark, New Jersey",40.73150700000008,-74.17438769999995,USW00094728,"NY CITY CENTRAL PARK, NY US",,
"Fort Lauderdale, FL",T,100.0,"Fort Lauderdale, Florida",26.124163100000033,-80.14358619999996,USW00012844,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",,
"Westhampton, NY",T,100.0,"Westhampton, New York",40.82493000000005,-72.66592399999996,USW00094702,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",,
"Houston, TX",T,100.0,"Houston, Texas",29.760802600000034,-95.36950619999999,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,
"White Plains, NY",T,100.0,"White Plains, New York",41.032726800000034,-73.76632519999998,USW00094728,"NY CITY CENTRAL PARK, NY US",,
"Washington, DC",T,100.0,"Washington, District of Columbia",38.89206210000003,-77.01991239999995,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",,
"New York, NY",T,100.0,New York,40.71304660000004,-74.00723009999996,USW00094728,"NY CITY CENTRAL PARK, NY US",,
"Laredo, TX",T,100.0,"Laredo, Texas",27.50712930000003,-99.50749569999994,USW00012907,"LAREDO INTERNATIONAL AIRPORT, TX US",,
"New Orleans, LA",T,100.0,"New Orleans, Louisiana",29.95176340000006,-90.07461679999994,USW00012916,"NEW ORLEANS AIRPORT, LA US",,
"Phoenix, AZ",T,100.0,"Phoenix, Arizona",33.44820400000003,-112.07258479999996,USW00023183,"PHOENIX AIRPORT, AZ US",,
"St. Petersburg, FL",T,100.0,"St. Petersburg, Florida",27.770860000000027,-82.67926999999997,USW00012842,"TAMPA INTERNATIONAL AIRPORT, FL US",,
