year,county_name,yield_bu_acre
2019,OTHER (COMBINED) COUNTIES,191.2
2023,BUENA VISTA,212.0
2022,BUENA VISTA,196.9
2021,BUENA VISTA,203.9
2020,BUENA VISTA,183.9
2019,BUENA VISTA,190.8
2018,BUENA VISTA,193.1
2017,BUENA VISTA,187.9
2016,BUENA VISTA,201.1
2015,BUENA VISTA,202.7
2014,BUENA VISTA,172.1
2013,BUENA VISTA,160.5
2012,BUENA VISTA,148.2
2011,BUENA VISTA,180.2
2010,BUENA VISTA,178.3
2009,BUENA VISTA,190.7
2008,BUENA VISTA,179.0
2007,BUENA VISTA,163.0
2006,BUENA VISTA,143.3
2005,BUENA VISTA,185.3
2024,CHEROKEE,207.1
2023,CHEROKEE,211.7
2022,CHEROKEE,198.7
2020,CHEROKEE,185.7
2019,CHEROKEE,208.9
2018,CHEROKEE,213.3
2017,CHEROKEE,203.7
2016,CHEROKEE,219.7
2015,CHEROKEE,209.6
2014,CHEROKEE,183.6
2013,CHEROKEE,185.1
2012,CHEROKEE,158.7
2011,CHEROKEE,176.7
2010,CHEROKEE,186.9
2009,CHEROKEE,201.9
2008,CHEROKEE,196.0
2007,CHEROKEE,166.5
2006,CHEROKEE,144.4
2005,CHEROKEE,185.5
2024,CLAY,176.1
2023,CLAY,203.9
2022,CLAY,191.4
2021,CLAY,203.3
2020,CLAY,168.1
2019,CLAY,185.5
2018,CLAY,158.5
2017,CLAY,197.3
2016,CLAY,202.0
2015,CLAY,202.8
2014,CLAY,166.3
2013,CLAY,167.2
2012,CLAY,170.1
2011,CLAY,185.4
2010,CLAY,177.6
2009,CLAY,184.2
2008,CLAY,175.0
2007,CLAY,163.6
2006,CLAY,159.6
2005,CLAY,183.1
2024,DICKINSON,160.8
2023,DICKINSON,201.3
2022,DICKINSON,203.4
2021,DICKINSON,177.7
2020,DICKINSON,182.2
2019,DICKINSON,170.0
2018,DICKINSON,160.4
2017,DICKINSON,196.2
2016,DICKINSON,188.0
2015,DICKINSON,194.5
2014,DICKINSON,157.9
2013,DICKINSON,162.4
2012,DICKINSON,160.9
2011,DICKINSON,169.3
2010,DICKINSON,181.0
2009,DICKINSON,185.3
2008,DICKINSON,168.0
2007,DICKINSON,165.8
2006,DICKINSON,159.0
2005,DICKINSON,170.4
2022,EMMET,213.6
2021,EMMET,182.5
2020,EMMET,186.1
2018,EMMET,155.8
2017,EMMET,210.1
2016,EMMET,198.5
2015,EMMET,203.3
2014,EMMET,165.0
2013,EMMET,166.4
2012,EMMET,166.6
2011,EMMET,169.6
2010,EMMET,183.1
2009,EMMET,190.1
2008,EMMET,168.0
2007,EMMET,175.7
2006,EMMET,165.9
2005,EMMET,182.7
2024,LYON,198.8
2023,LYON,200.2
2022,LYON,190.8
2021,LYON,216.7
2020,LYON,197.0
2019,LYON,186.5
2018,LYON,193.0
2017,LYON,218.9
2016,LYON,206.9
2015,LYON,196.0
2014,LYON,172.9
2013,LYON,190.5
2012,LYON,161.6
2011,LYON,185.4
2010,LYON,195.2
2009,LYON,192.8
2008,LYON,190.0
2007,LYON,163.7
2006,LYON,163.9
2005,LYON,185.2
2024,O BRIEN,199.0
2023,O BRIEN,212.7
2022,O BRIEN,201.1
2021,O BRIEN,213.5
2020,O BRIEN,199.5
2019,O BRIEN,204.9
2018,O BRIEN,201.6
2017,O BRIEN,213.8
2016,O BRIEN,210.7
2015,O BRIEN,205.2
2014,O BRIEN,180.3
2013,O BRIEN,195.3
2012,O BRIEN,159.8
2011,O BRIEN,185.1
2010,O BRIEN,190.7
2009,O BRIEN,198.0
2008,O BRIEN,195.0
