feature,importance
detection_type_Passenger_baggage_inspection,0.10329586
model_fruit_fly_type_Mexican_Fruit_Fly_Anastrepha_ludens,0.066753075
detection_type_Mail_package_inspection,0.05637829
month_cos,0.052472323
month_num,0.044065945
month_sin,0.041366786
log_port_month_detections,0.040854074
port_month_detections,0.039105657
lag1_route_detections,0.03743309
temp_suitability_score,0.03740634
origin_region_Central_America_and_Mexico,0.037196565
detection_type_Cargo_shipment_inspection,0.031354886
passengers,0.030407403
pest_score,0.029124742
destination_temp_f,0.028436111
us_port_DFW,0.028345678
log_passengers,0.028069181
rolling3_route_detections,0.02744272
year,0.02704434
historical_pest_score,0.025995657
detections,0.023396578
quarter,0.022924216
fruit_imports,0.02277288
days_since_previous_observation,0.021546347
support_passengers,0.019715603
log_support_passengers,0.016301317
us_port_LAX,0.015445799
global_prevalence_percent,0.012927627
model_fruit_fly_type_Oriental_Fruit_Fly_Bactrocera_dorsalis,0.011821559
origin_region_Southeast_Asia,0.010675878
support_fruit_imports,0.00992348
origin_region_Sub_Saharan_Africa,0.0
model_fruit_fly_type_Unknown,0.0
pest_status_Absent,0.0
origin_region_Unknown,0.0
model_fruit_fly_type_Mediterranean_Fruit_Fly_Ceratitis_capitata_Medfly,0.0
temp_suitability_class_SUITABLE_ABOVE_45F,0.0
temp_suitability_class_UNKNOWN_TEMP,0.0
detection_type_Agricultural_inspection,0.0
pest_status_Present,0.0
pest_status_Emerging,0.0
origin_country_Chile,0.0
us_port_MIA,0.0
us_port_IAH,0.0
temp_is_missing,0.0
detection_present_now,0.0
log_fruit_imports,0.0
log_support_fruit_imports,0.0
passenger_import_interaction,0.0
origin_country_Australia,0.0
origin_country_Brazil,0.0
origin_country_Canada,0.0
origin_country_China,0.0
origin_country_Germany,0.0
origin_country_India,0.0
origin_country_Japan,0.0
origin_country_Mexico,0.0
origin_country_Spain,0.0
origin_country_United_Kingdom,0.0
temp_suitability_class_UNSUITABLE_BELOW_40F,0.0
