
country,fruit_imports,month
Mexico,26111,2020-01
Mexico,29441,2020-05
Mexico,30000,2020-06
Mexico,27953,2020-08
Mexico,26944,2020-10
Mexico,23488,2020-11
Mexico,19070,2021-01
Mexico,30000,2021-05
Mexico,24665,2021-07
Mexico,24791,2021-11
Mexico,29878,2022-05
Mexico,30000,2022-07
Mexico,27443,2022-08
Mexico,22740,2022-10
Mexico,22613,2022-11
Mexico,29428,2022-12
Mexico,23527,2023-04
Mexico,30000,2023-05
Mexico,29517,2023-09
Mexico,30000,2023-10
Mexico,21427,2023-12
Mexico,21543,2024-03
Mexico,30000,2024-06
Mexico,30000,2024-07
Mexico,29351,2024-11
Mexico,30000,2025-03
Mexico,25142,2025-05
Mexico,30000,2025-06
Mexico,30000,2025-08
Mexico,23480,2025-11
Mexico,27060,2026-01
Brazil,17143,2020-04
Brazil,21735,2020-05
Brazil,26722,2020-07
Brazil,19801,2020-10
Brazil,22063,2021-02
Brazil,16861,2021-04
Brazil,24031,2021-06
Brazil,22942,2021-07
Brazil,18354,2021-09
Brazil,24945,2021-10
Brazil,23540,2021-11
Brazil,29411,2022-02
Brazil,23134,2022-05
Brazil,19842,2022-07
Brazil,22619,2022-10
Brazil,30000,2022-11
Brazil,26839,2022-12
Brazil,18089,2023-07
Brazil,24963,2023-10
Brazil,30000,2023-11
Brazil,23021,2024-01
Brazil,30000,2024-02
Brazil,30000,2024-04
Brazil,26926,2024-08
Brazil,30000,2024-12
Brazil,22084,2025-01
Brazil,26412,2025-07
Brazil,30000,2025-08
Brazil,30000,2025-09
Brazil,21709,2025-10
Brazil,29502,2026-01
China,9894,2020-01
China,8430,2020-02
China,16631,2020-09
China,15571,2020-10
China,14456,2020-11
China,11491,2021-01
China,17292,2021-03
China,20301,2021-04
China,12478,2021-11
China,13768,2021-12
China,11939,2022-02
China,16752,2022-07
China,20205,2022-08
China,16813,2022-12
China,16650,2023-01
China,10262,2023-07
China,14373,2023-08
China,12942,2024-04
China,19500,2024-07
China,23281,2024-11
China,14903,2024-12
China,13802,2025-02
China,17194,2025-03
China,10447,2025-12
China,18381,2026-01
China,15034,2026-03
China,19383,2026-04
India,9137,2020-02
India,15713,2020-04
India,13671,2020-06
India,12880,2020-07
India,15603,2020-08
India,12767,2020-10
India,11000,2020-11
India,15537,2021-03
India,14052,2021-06
India,10216,2021-09
India,17907,2021-12
India,8143,2022-07
India,18897,2022-11
India,12491,2023-02
India,17873,2023-07
India,9065,2024-01
India,20206,2024-06
India,18319,2024-08
India,22990,2025-04
India,15336,2025-05
India,16615,2025-08
India,12460,2025-10
India,18465,2026-01
India,14496,2026-03
Chile,14894,2020-01
Chile,10291,2020-02
Chile,14890,2020-03
Chile,13362,2020-04
Chile,13354,2021-03
Chile,7792,2021-08
Chile,7686,2021-10
Chile,16022,2021-12
Chile,10999,2022-03
Chile,9828,2022-09
Chile,10645,2023-01
Chile,10196,2023-02
Chile,10452,2023-04
Chile,8069,2023-05
Chile,12034,2023-07
Chile,6517,2023-10
Chile,13589,2023-12
Chile,16338,2024-02
Chile,12269,2024-09
Chile,10796,2025-06
Chile,10310,2025-08
Chile,17536,2026-02
Australia,10104,2020-04
Australia,8211,2020-07
Australia,7303,2021-09
Australia,12350,2021-10
Australia,13393,2022-06
Australia,9399,2022-11
Australia,13117,2023-03
Australia,10648,2023-04
Australia,13205,2023-06
Australia,11420,2023-07
Australia,10116,2023-08
Australia,9170,2023-12
Australia,11040,2024-07
Australia,7106,2024-08
Australia,8972,2024-10
Australia,15134,2025-02
Australia,6324,2025-04
Australia,8366,2025-06
Australia,9967,2025-08
Australia,11096,2025-09
Australia,6662,2025-11
Australia,8875,2025-12
Canada,5842,2020-01
Canada,10301,2020-07
Canada,10276,2020-09
Canada,6576,2020-12
Canada,8810,2021-09
Canada,9351,2022-02
Canada,10878,2022-08
Canada,10696,2022-11
Canada,4749,2023-01
Canada,4588,2023-03
Canada,4860,2023-05
Canada,10364,2023-07
Canada,9162,2023-08
Canada,10888,2023-09
Canada,9435,2024-06
Canada,12147,2024-07
